name,address,website,phone
The Coffee Place,"61-63 Woodhouse Rd, London, N12 9ET",http://thecoffeeplace.info/?utm_source=yell&utm_medium=referral&utm_campaign=yell,07491 602335
The Coffee Place,"61-63 Woodhouse Rd, London, N12 9ET",,07491 602335
MAK Tea & Coffee Bar,"513 Kingsbury Rd, London, NW9 9EG",,07956 891199
St Anna,"453 Fulham Rd, London, SW10 9UZ",https://www.facebook.com/st.anna.chelsea/,020 7751 5893
BlueBox.,"1386 High Rd, London, N20 9BH",http://www.theblueboxinlondon.com,020 3675 5173
Angelique Coffee Ltd,"Kemp House, 152-160, City Rd, London, EC1V 2NX",https://angeliquecoffee.co.uk/,020 7157 9515
Maison Bertaux Ltd,"28 Greek St, London, W1D 5DQ",http://www.maisonbertaux.com,020 7437 6007
Canela Covent Garden Ltd,"33 Earlham St, London, WC2H 9LS",http://www.canelacafe.com,020 7240 6926
Monmouth Coffee Co.Ltd,"27 Monmouth St, London, WC2H 9DD",http://www.monmouthcoffee.co.uk,020 7232 3010
Milk Bar,"3 Bateman St, London, W1D 4AG",http://www.milkbarsoho.co.uk,020 7287 4796
Tunnel Meal,"12 The Arches Villiers St, London, WC2N 6NG",http://www.tunnelmeals.co.uk,020 7839 6116
Fernandez & Wells,"73 Beak St, London, W1F 9SR",http://www.fernandezandwells.com,020 7287 8124
Pret a Manger,"25 Villiers St, London, WC2N 6ND",https://www.pret.co.uk,020 7932 5248
The Breakfast Club,"33 D'Arblay St, London, W1F 8EU",http://www.thebreakfastclubcafes.com,020 7434 2571
The Espresso Room,"24 New Row, Charing Cross, LONDON, WC2N 4LA",http://www.theespressoroom.co.uk,020 3583 6949
Costa,"22-24 Leicester Square, LONDON, WC2H 7JY",http://www.costa.co.uk,
Morris's Cafe,"15b Clifford St, London, W1S 4JZ",,020 7734 6930
Marie's Cafe,"90 Lower Marsh, London, SE1 7AB",,020 7928 1050
Cafe Eterno,"34, Neal St, Covent Garden, London, WC2H 9PS",http://www.lcm.org.uk,020 7240 1599
Starbucks Coffee Co (Uk) Ltd,"99 St. Martin's Lane, London, WC2N 4AZ",https://www.starbucks.co.uk,020 7240 5789
Charles Dickens' Coffee House,"26 Wellington St, London, WC2E 7DD",,020 7379 7727
Bar Bruno,"101 Wardour St, London, W1F 0UG",,020 7734 3750
Sweetzcity Ltd,"71-75 Shelton Stt, London, WC2H 9JQ",http://www.sweetzcity.co.uk,07983 240537
Pret a Manger,"77-78 St Martin's Lane, London, WC2N 4AA",https://locations.pret.co.uk/london/77-78-st-martin's-lane,020 7932 5213
Il Panino,"21 Newton St, London, WC2B 5EL",,020 7405 3825
MAK Tea & Coffee Bar,"513 Kingsbury Rd, London, NW9 9EG",,07956 891199
Pistachios in the Park - Red Lion Cafe,"Red Lion Square Gardens, London, WC1R 4QH",,020 3116 0024
Broomfield Cafe,"64 Aldermans Hill, London, N13 4PP",,020 3953 9615
St Anna,"453 Fulham Rd, London, SW10 9UZ",https://www.facebook.com/st.anna.chelsea/,020 7751 5893
St James Kitchen,"36 St James's St, London, E17 7PF",,020 3583 7552
Moosh Cafe,"Kingly Street, Soho, LONDON, W1B 5PW",,020 7386 8688
Victoria House,"5 Coptic St, London, WC1A 1NH",http://www.victoriahouseco.com,07490 000079
Palm Court,"150 Piccadilly, St James's, LONDON, W1J 9BR",,020 7300 2345
Royal Quarter Cafe,"72-73 Buckingham Gate, LONDON, SW1E 6AS",,
Kin,"22 Foley St, London, W1W 6DT",http://kincafe.co.uk/,020 7998 4720
Greek Flavours,"Monomark House, 27, Old Gloucester St, London, WC1N 3AX",https://www.greekflavours.com,020 3445 5795
Starbucks,"22-23 Princes St, London, W1B 2LY",http://www.starbucks.co.uk,020 7495 8370
Mustard Cafe,"40 Margaret St, London, W1G 0JH",,020 7629 0715
Joe & The Juice,"281 Regent Street, Mayfair, LONDON, W1B 2HF",http://www.joejuice.com/,
Caffe Nero,"79 Tottenham Court Rd, London, W1T 4TB",http://www.caffenero.com,020 7580 3885
food hippo,"27 Old Gloucester St, London, WC1N 3AX",http://www.one-delivery.co.uk,020 3633 8667
Tinderbox Within Paperchase,"213-215 Tottenham Court Road, London, W1T 7PS",,0207467 6200
X L N T,"15 Greycoat Place, London, SW1P 1SB",,020 7976 9996
Italia Uno,"91 Charlotte St, London, W1T 4PX",,020 7637 5326
Syrup of Soot Ltd,"38 Museum St, London, WC1A 1LP",http://www.syrupofsoot.com,020 7242 1022
